project_id,project_name,state,sector,original_cost_raw,original_cost,revised_cost_raw,revised_cost,anticipated_cost_raw,anticipated_cost,expenditure_raw,expenditure,physical_progress_raw,physical_progress,reporting_year,reporting_month,reporting_period,source_pdf,source_page,document_id,file_hash,extraction_method,source_table,project_status
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",,CIVIL AVIATION,417.23 (707.73) {707.73},417.23,417.23 (707.73) {707.73},707.73,417.23 (707.73) {707.73},707.73,698.80,698.8,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,42,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",,"1,542.89",1542.89,69.50,69.5,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,202,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,,,"951.28 (1,112.49) {1,112.49}",951.28,"951.28 (1,112.49) {1,112.49}",1112.49,"951.28 (1,112.49) {1,112.49}",1112.49,"1,112.49",1112.49,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,202,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",,CIVIL AVIATION,303.80 (374.98) {351.21},303.8,303.80 (374.98) {351.21},374.98,303.80 (374.98) {351.21},351.21,340.71,340.71,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,83,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",,CIVIL AVIATION,"1,383.00 (1,938.00) {3,291.81}",1383.0,"1,383.00 (1,938.00) {3,291.81}",1938.0,"1,383.00 (1,938.00) {3,291.81}",3291.81,"2,609.59",2609.59,79.28,79.28,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,219,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,LADAKH,CIVIL AVIATION,480.33 (N.A.) {640.00},480.33,480.33 (N.A.) {640.00},640.0,480.33 (N.A.) {640.00},,404.97,404.97,62.50,62.5,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,134,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000079,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT",,CIVIL AVIATION,475.39 (N.A.) {520.00},475.39,475.39 (N.A.) {520.00},520.0,475.39 (N.A.) {520.00},,508.22,508.22,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,141,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000080,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,,CIVIL AVIATION,458.00 (N.A.) {458.00},458.0,458.00 (N.A.) {458.00},458.0,458.00 (N.A.) {458.00},,246.68,246.68,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,240,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000081,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA",,,389.71 (N.A.) {397.00},389.71,389.71 (N.A.) {397.00},397.0,389.71 (N.A.) {397.00},,396.57,396.57,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,240,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",,,"1,216.90 (N.A.) {1,216.90}",1216.9,"1,216.90 (N.A.) {1,216.90}",1216.9,"1,216.90 (N.A.) {1,216.90}",,921.43,921.43,84.59,84.59,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,66,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed
